step,price,log_return,rolling_volatility,marginal_liquidity,lvr
0,1809.324925611953,0.0051671415301123265,,153923.46982410955,0.0
1,1807.1864049352816,-0.0011826430117118465,,153650.65710180937,0.0011833426097225264
2,1819.293154134172,0.006676885381006924,,155197.25073460056,-0.006654644509258567
3,1847.5830904565737,0.015430298564080255,,158831.2536902202,-0.015311861462972587
4,1843.6306625569493,-0.0021415337472333595,,158321.85855856154,0.002143828468410547
5,1839.686991893906,-0.0021413695694918054,,157814.13599616796,0.002143663938713569
6,1869.3440093877743,0.015992128155073913,,161645.58284243834,-0.015864933016572547
7,1884.121980403701,0.007874347291529088,,163566.1833060435,-0.007843425834223483
8,1875.6723384157117,-0.004494743859349522,,162467.11036085058,0.004504860371895347
9,1886.2538573325169,0.005625600435859647,,163843.8736015105,-0.005609806376629223
10,1877.9083903104,-0.004434176928124623,,162757.7206652411,0.0044440224375041915
11,1869.556620858088,-0.004457297535702569,,161673.16097845047,0.004467246062052066
12,1874.4605742998008,0.002619622715660341,,162309.69479577284,-0.0026161944982729946
13,1839.3056235260492,-0.01893280244657798,,157765.06607244245,0.019113164405140104
14,1808.2127808204457,-0.01704917832513033,,153781.57252774396,0.017195345058613754
15,1798.4336079904112,-0.005422875292409727,,152535.73896207713,0.0054376056956373375
16,1780.6665438660323,-0.009928311203344238,,150280.93698817046,0.009977760398532709
17,1786.6283323002415,0.003342473325952739,,151036.29401131818,-0.003336893480544667
18,1770.8328800791799,-0.00888024075521211,,149037.77607127314,0.008919787066725249
19,1746.34835335907,-0.013923037013352915,,145957.46577740018,0.01402041389566655
20,1772.486636958087,0.014856487689215542,,149246.6013524355,-0.014746674561042283
21,1768.843029655796,-0.0020577630048653566,,148786.64038332255,0.002059881652132667
22,1770.3919439729605,0.0008752820468792384,,148982.11408892664,-0.0008748990992857308
23,1745.6962574575741,-0.014047481862134567,,145875.72145118608,0.014146611364885153
24,1736.5660872998628,-0.005243827245251827,,144732.80167541714,0.005257600171097998
25,1738.8411335431424,0.001309225897098661,,145017.3128491957,-0.001308369234769513
26,1719.2857455436183,-0.011309935774223028,,142577.85916343378,0.011374134898873844
27,1726.1024029631726,0.003956980183456719,,143426.6422800064,-0.0039491616533597895
28,1716.1090253688071,-0.005806386899188051,,142182.88059836722,0.005823276637227259
29,1711.4527926181831,-0.002716937497932768,,141604.60674937873,0.0027206317175134664
30,1701.5260587838177,-0.005817066122293969,,140374.3966736423,0.005834018105758787
31,1733.6834586043178,0.018722781845089378,,144372.57547025336,-0.018548599319502035
32,1733.796199809,6.50277526206608e-05,,144386.65849326696,-6.50256383618597e-05
33,1715.8974364871694,-0.010377109289559002,,142156.58559999015,0.010431138214457292
34,1730.415718673695,0.008425449121031891,,143964.58606579067,-0.00839005449953567
35,1709.7603986591726,-0.012008436499710222,,141394.61714862077,0.012080827249666193
36,1713.677898929547,0.0022886359500475543,,141880.8524887743,-0.002286019019572816
37,1680.7584967139721,-0.019396701238797758,,137812.2961627436,0.019586039445842474
38,1658.9142418174322,-0.013081860488984305,,135134.39419708247,0.013167802376937932
39,1662.5156874025188,0.0021686123586912355,,135574.6911098381,-0.0021662626177763045
40,1675.1732543066253,0.007584665799954104,,137125.9316932137,-0.007555974805331767
41,1678.3820739225453,0.0019136828118997051,,137520.12049461136,-0.0019118528884312092
42,1676.7774977940096,-0.0009564828238824054,,137322.9585151799,0.0009569403994547088
43,1672.0706329658324,-0.0028110369558928877,,136745.14769004006,0.0028149916249819995
44,1647.8601022348155,-0.014585219903674274,,133785.9490687721,0.0146921032302334
45,1636.3679093754802,-0.006998442083947087,,132388.85518500378,0.007022988408347253
46,1629.173300689896,-0.004406387709597876,,131516.7056951354,0.004416110110899485
47,1646.816336367295,0.010771222262189158,,133658.8577954503,-0.01071342036618228
48,1652.8153619291595,0.003636182895684614,,134389.86160975878,-0.0036295799882102298
49,1624.255752284326,-0.01743040155362734,0.06602035270517319,130921.6939624657,0.01758319747654724
50,1629.8541820761423,0.00344083969394795,0.06585001089471385,131599.1615937826,-0.0034349267887785473
51,1623.9147218162484,-0.0036508228041631655,0.06586159046658852,130880.46343935232,0.0036574951751475737
52,1613.2818318772631,-0.006569220003059588,0.06538271772708507,129597.12289560665,0.006590844655216088
53,1623.5048047365583,0.006316762888408678,0.06345284557228914,130830.91026623671,-0.006296854083504888
54,1640.6578136095575,0.01050999522495951,0.06479040099236383,132909.80243328438,-0.0104549582068314
55,1656.3395355070263,0.009512801191161987,0.065864774550876,134819.9147026052,-0.009467697631614147
56,1642.8259402349822,-0.008192175232226385,0.06348317461996081,133173.34958544536,0.008225822919567083
57,1638.0815482934463,-0.002892123758512146,0.06257993926835236,132596.870214309,0.002896309983150047
58,1643.8456474085997,0.0035126343140356397,0.06287011396316564,133297.36049274856,-0.0035064722312827534
59,1660.2926052531536,0.009955451271223593,0.06359579114916897,135302.85045790626,-0.009906059806877199
60,1652.6864454641811,-0.0045917423784529,0.0636007446697489,134374.13868469553,0.0046023005814852525
61,1649.9508884846095,-0.0016565897666381711,0.0635769329921616,134040.64896346984,0.0016579626694732674
62,1632.1239006476621,-0.010863349740060282,0.0638981092714862,131874.15278268914,0.010922570173669488
63,1613.039208943092,-0.011762066240806708,0.06243269123644339,129567.88864957602,0.011831511347498491
64,1626.5242321459746,0.008325258223941982,0.06160171939107721,131196.06291471305,-0.008290699232369247
65,1649.0638535933824,0.01376240028570823,0.06350939898175334,133932.57051868315,-0.013668131405762729
66,1648.2063964797635,-0.0005201012158033386,0.06296528468769329,133828.12352709248,0.0005202364918921454
